Type	School Year	County	District	School	Agency Name	Average Teacher Salary	Average Years of Teaching Experience	Masters Count	Percentage of Teachers with Master's Degrees	Teacher Count	White, Not Hispanic	Black, Not Hispanic	Hispanic	Asian / Pacific Islanders	American Indian / Alaskan Native
SC	20032004	03	0500	001	ARTHUR COUNTY HIGH SCHOOL	38077	15.14	*	*	*	*	*	*	*	*
SC	20052006	03	0500	001	ARTHUR COUNTY HIGH SCHOOL	34737	19.60	*	*	*	*	*	*	*	*
SC	20062007	03	0500	001	ARTHUR COUNTY HIGH SCHOOL	35087	20.22	*	*	*	*	*	*	*	*
SC	20072008	03	0500	001	ARTHUR COUNTY HIGH SCHOOL	35459	18.90	*	*	*	*	*	*	*	*
SC	20082009	03	0500	001	ARTHUR COUNTY HIGH SCHOOL	35613	19.90	*	*	*	*	*	*	*	*
SC	20062007	03	0500	002	ARTHUR ELEM SCH - LOWER	38325	19.00	*	*	*	*	*	*	*	*
SC	20072008	03	0500	002	ARTHUR ELEM SCH - LOWER	36734	16.33	*	*	*	*	*	*	*	*
SC	20082009	03	0500	002	ARTHUR ELEM SCH - LOWER	34568	11.80	*	*	*	*	*	*	*	*
SC	20062007	03	0500	003	ARTHUR ELEM SCH - MIDDLE/UPPER	35569	21.50	*	*	*	*	*	*	*	*
SC	20072008	03	0500	003	ARTHUR ELEM SCH - MIDDLE/UPPER	34561	13.00	*	*	*	*	*	*	*	*
SC	20082009	03	0500	003	ARTHUR ELEM SCH - MIDDLE/UPPER	34607	16.25	*	*	*	*	*	*	*	*
DI	19981999	04	0001	000	BANNER COUNTY PUBLIC SCHOOLS	26402	13.92	*	*	16.86	*	*	*	*	*
DI	20032004	04	0001	000	BANNER COUNTY PUBLIC SCHOOLS	34471	16.42	*	*	17.75	*	*	*	*	*
