CoDist	DistName	CoDistSch	SchName	Grade	FWNH	MWNH	FAPI	MAPI	FH	MH	FAIA	MAIA	FBNH	MBNH	Female	Male	Total
01-0001	JUNIATA ELEMENTARY SCHOOL	01-0001-001	JUNIATA ELEMENTARY SCHOOL	K	4	7	0	0	1	0	0	0	1	0	6	7	13

01-0001	JUNIATA ELEMENTARY SCHOOL	01-0001-001	JUNIATA ELEMENTARY SCHOOL	01	7	13	0	0	0	0	0	0	0	0	7	13	20

01-0001	JUNIATA ELEMENTARY SCHOOL	01-0001-001	JUNIATA ELEMENTARY SCHOOL	02	9	9	0	0	0	0	0	0	0	1	9	10	19

01-0001	JUNIATA ELEMENTARY SCHOOL	01-0001-001	JUNIATA ELEMENTARY SCHOOL	03	9	14	0	0	0	1	0	0	0	0	9	15	24

01-0001	JUNIATA ELEMENTARY SCHOOL	01-0001-001	JUNIATA ELEMENTARY SCHOOL	04	7	12	0	0	0	0	0	0	0	0	7	12	19

01-0001	JUNIATA ELEMENTARY SCHOOL	01-0001-001	JUNIATA ELEMENTARY SCHOOL	05	10	7	0	0	0	0	0	0	0	0	10	7	17

01-0001	JUNIATA ELEMENTARY SCHOOL	01-0001-001	JUNIATA ELEMENTARY SCHOOL	06	9	5	0	0	0	0	0	0	0	0	9	5	14

01-0003	KENESAW PUBLIC SCHOOLS	01-0003-001	KENESAW SECONDARY SCHOOL	07	12	11	0	0	0	0	0	0	0	0	12	11	23

01-0003	KENESAW PUBLIC SCHOOLS	01-0003-001	KENESAW SECONDARY SCHOOL	08	10	10	0	0	0	0	0	0	0	0	10	10	20

01-0003	KENESAW PUBLIC SCHOOLS	01-0003-001	KENESAW SECONDARY SCHOOL	09	9	8	0	0	0	0	0	0	0	0	9	8	17

01-0003	KENESAW PUBLIC SCHOOLS	01-0003-001	KENESAW SECONDARY SCHOOL	10	8	6	0	0	0	0	0	0	0	0	8	6	14

01-0003	KENESAW PUBLIC SCHOOLS	01-0003-001	KENESAW SECONDARY SCHOOL	11	12	8	0	0	0	0	0	0	0	0	12	8	20

01-0003	KENESAW PUBLIC SCHOOLS	01-0003-001	KENESAW SECONDARY SCHOOL	12	11	13	0	0	0	0	0	0	0	0	11	13	24

01-0003	KENESAW PUBLIC SCHOOLS	01-0003-002	KENESAW ELEMENTARY SCHOOL	K	11	5	0	0	0	0	0	0	0	1	11	6	17

01-0003	KENESAW PUBLIC SCHOOLS	01-0003-002	KENESAW ELEMENTARY SCHOOL	01	9	12	0	0	0	0	0	0	0	0	9	12	21

01-0003	KENESAW PUBLIC SCHOOLS	01-0003-002	KENESAW ELEMENTARY SCHOOL	02	12	10	0	0	0	0	0	0	0	0	12	10	22

01-0003	KENESAW PUBLIC SCHOOLS	01-0003-002	KENESAW ELEMENTARY SCHOOL	03	9	9	0	0	0	0	0	0	0	0	9	9	18

01-0003	KENESAW PUBLIC SCHOOLS	01-0003-002	KENESAW ELEMENTARY SCHOOL	04	7	14	0	1	0	0	0	0	0	0	7	15	22

01-0003	KENESAW PUBLIC SCHOOLS	01-0003-002	KENESAW ELEMENTARY SCHOOL	05	8	10	0	0	0	0	0	0	0	0	8	10	18

01-0003	KENESAW PUBLIC SCHOOLS	01-0003-002	KENESAW ELEMENTARY SCHOOL	06	8	15	0	0	0	0	0	0	0	0	8	15	23

01-0011	HOLSTEIN PUBLIC SCHOOL	01-0011-001	HOLSTEIN PUBLIC SCHOOL	K	2	0	0	0	0	0	0	0	0	0	2	0	2

01-0011	HOLSTEIN PUBLIC SCHOOL	01-0011-001	HOLSTEIN PUBLIC SCHOOL	01	0	1	0	0	0	0	0	0	0	0	0	1	1

01-0011	HOLSTEIN PUBLIC SCHOOL	01-0011-001	HOLSTEIN PUBLIC SCHOOL	02	1	3	0	0	0	1	0	0	0	0	1	4	5

01-0011	HOLSTEIN PUBLIC SCHOOL	01-0011-001	HOLSTEIN PUBLIC SCHOOL	03	0	2	0	0	0	0	0	0	0	0	0	2	2

01-0011	HOLSTEIN PUBLIC SCHOOL	01-0011-001	HOLSTEIN PUBLIC SCHOOL	04	2	1	0	0	0	0	0	0	0	0	2	1	3

01-0011	HOLSTEIN PUBLIC SCHOOL	01-0011-001	HOLSTEIN PUBLIC SCHOOL	05	2	1	0	0	0	0	0	0	0	0	2	1	3

01-0011	HOLSTEIN PUBLIC SCHOOL	01-0011-001	HOLSTEIN PUBLIC SCHOOL	06	2	2	0	0	0	1	0	0	0	0	2	3	5

01-0015	DIST 015 - ADAMS COUNTY	01-0015-001	DIST 015 - ADAMS COUNTY	K	5	2	0	0	0	0	0	0	0	0	5	2	7

01-0015	DIST 015 - ADAMS COUNTY	01-0015-001	DIST 015 - ADAMS COUNTY	01	3	3	0	0	0	0	0	0	0	0	3	3	6

01-0015	DIST 015 - ADAMS COUNTY	01-0015-001	DIST 015 - ADAMS COUNTY	02	9	4	0	0	0	0	0	0	0	0	9	4	13

01-0015	DIST 015 - ADAMS COUNTY	01-0015-001	DIST 015 - ADAMS COUNTY	03	2	7	0	0	0	0	0	0	0	0	2	7	9

01-0015	DIST 015 - ADAMS COUNTY	01-0015-001	DIST 015 - ADAMS COUNTY	04	3	8	0	0	0	0	0	0	0	0	3	8	11

01-0015	DIST 015 - ADAMS COUNTY	01-0015-001	DIST 015 - ADAMS COUNTY	05	6	11	0	0	0	0	0	0	0	0	6	11	17

01-0015	DIST 015 - ADAMS COUNTY	01-0015-001	DIST 015 - ADAMS COUNTY	06	5	4	0	0	0	0	0	0	0	0	5	4	9

01-0018	HASTINGS PUBLIC SCHOOLS	01-0018-001	HASTINGS SENIOR HIGH SCHOOL	09	98	110	3	5	17	13	0	3	2	2	120	133	253

01-0018	HASTINGS PUBLIC SCHOOLS	01-0018-001	HASTINGS SENIOR HIGH SCHOOL	10	78	103	3	4	12	18	3	0	1	3	97	128	225

01-0018	HASTINGS PUBLIC SCHOOLS	01-0018-001	HASTINGS SENIOR HIGH SCHOOL	11	124	104	6	3	10	10	0	0	2	1	142	118	260

01-0018	HASTINGS PUBLIC SCHOOLS	01-0018-001	HASTINGS SENIOR HIGH SCHOOL	12	102	125	1	3	6	11	3	0	0	2	112	141	253

